id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
70,World,388915.104338217,804996.07812109,17.8051556629832,0.01,0.017,28/09/2023 10:29:53 p.m.,638315369930000000
71,World,388915.103328492,804996.070137394,17.8008220382126,0.008,0.013,28/09/2023 10:29:54 p.m.,638315369940000000
72,World,388915.122713697,804996.089116311,17.8047893162539,0.007,0.012,28/09/2023 10:29:55 p.m.,638315369950000000
73,World,388915.089728735,804996.127074604,17.8055913521401,0.008,0.014,28/09/2023 10:29:56 p.m.,638315369960000000
74,World,388915.075125939,804996.128347225,17.8142132644575,0.008,0.014,28/09/2023 10:29:57 p.m.,638315369970000000
75,World,388915.076106091,804996.131842754,17.8160022288288,0.008,0.013,28/09/2023 10:29:58 p.m.,638315369980000000
76,World,388915.073909864,804996.128532651,17.8139750102502,0.008,0.014,28/09/2023 10:29:59 p.m.,638315369990000000
77,World,388915.067758977,804996.135895958,17.8210068660265,0.008,0.014,28/09/2023 10:30:00 p.m.,638315370000000000
78,World,388915.066704225,804996.135061622,17.8212921141186,0.007,0.012,28/09/2023 10:30:01 p.m.,638315370010000000
79,World,388915.063137648,804996.136504207,17.81526812503,0.008,0.013,28/09/2023 10:30:02 p.m.,638315370020000000
80,World,388914.731435979,804996.214549596,17.9159547176357,0.008,0.014,28/09/2023 10:30:03 p.m.,638315370030000000
81,World,388913.534991499,804996.218966697,18.0067233762443,0.008,0.014,28/09/2023 10:30:04 p.m.,638315370040000000
82,World,388912.162328818,804996.401720891,18.0298132852755,0.008,0.013,28/09/2023 10:30:05 p.m.,638315370050000000
83,World,388910.731658999,804996.612181878,18.0438343360239,0.008,0.014,28/09/2023 10:30:06 p.m.,638315370060000000
84,World,388909.241718255,804996.662506954,18.0180847817016,0.009,0.015,28/09/2023 10:30:07 p.m.,638315370070000000
85,World,388907.713705104,804996.646501632,18.0268350349259,0.01,0.016,28/09/2023 10:30:08 p.m.,638315370080000000
86,World,388906.190995669,804996.679463885,18.0547262167814,0.01,0.017,28/09/2023 10:30:09 p.m.,638315370090000000
87,World,388904.892411656,804996.758396874,18.0684686972742,0.009,0.015,28/09/2023 10:30:10 p.m.,638315370100000000
88,World,388903.46003606,804997.020834165,18.1100351283666,0.01,0.016,28/09/2023 10:30:11 p.m.,638315370110000000
89,World,388901.95028008,804997.311869664,18.145826797771,0.009,0.015,28/09/2023 10:30:12 p.m.,638315370120000000
90,World,388900.406301172,804997.585542915,18.1107211284229,0.008,0.014,28/09/2023 10:30:13 p.m.,638315370130000000
91,World,388898.896456567,804997.833131557,18.1262049210708,0.009,0.014,28/09/2023 10:30:14 p.m.,638315370140000000
92,World,388897.370529769,804998.084827884,18.0998802302906,0.009,0.013,28/09/2023 10:30:15 p.m.,638315370150000000
93,World,388895.8755175,804998.249444747,18.1041042074615,0.009,0.014,28/09/2023 10:30:16 p.m.,638315370160000000
94,World,388894.324732604,804998.458491465,18.0881097868105,0.008,0.013,28/09/2023 10:30:17 p.m.,638315370170000000
95,World,388892.738144252,804998.673909569,18.0842520386357,0.008,0.014,28/09/2023 10:30:18 p.m.,638315370180000000
96,World,388891.193468826,804998.835903627,18.1448812084918,0.008,0.013,28/09/2023 10:30:19 p.m.,638315370190000000
97,World,388889.618685398,804999.058296438,18.1538575984374,0.008,0.014,28/09/2023 10:30:20 p.m.,638315370200000000
