type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,806334.562467036,388782.993487324,14.6628080521032,0.039,0.048,15/10/2023 10:37:37 p.m.,638330062570000000
World,806334.416354956,388782.457564135,14.7335431593929,0.086,0.092,15/10/2023 10:37:38 p.m.,638330062580000000
World,806334.325929918,388782.014916598,14.7567428902815,0.107,0.111,15/10/2023 10:37:39 p.m.,638330062590000000
World,806334.26562474,388781.712463919,14.7576808610548,0.125,0.129,15/10/2023 10:37:40 p.m.,638330062600000000
World,806334.224412437,388781.755259463,14.7548798029504,0.141,0.144,15/10/2023 10:37:41 p.m.,638330062610000000
World,806334.164449943,388781.816891122,14.7394243867887,0.157,0.162,15/10/2023 10:37:42 p.m.,638330062620000000
World,806334.140211956,388781.820932651,14.7268272230286,0.17,0.175,15/10/2023 10:37:43 p.m.,638330062630000000
World,806334.115818761,388782.062066869,14.7106019730566,0.171,0.175,15/10/2023 10:37:44 p.m.,638330062640000000
World,806334.129952045,388782.420849138,14.6892783556968,0.185,0.188,15/10/2023 10:37:45 p.m.,638330062650000000
World,806334.13243678,388782.540671727,14.8328029796436,0.195,0.198,15/10/2023 10:37:46 p.m.,638330062660000000
World,806334.252263653,388782.801138515,14.6625827074222,0.199,0.2,15/10/2023 10:37:47 p.m.,638330062670000000
World,806334.346907051,388783.474537988,14.6670834656427,0.206,0.209,15/10/2023 10:37:48 p.m.,638330062680000000
World,806334.170327101,388784.544747236,14.8170483603229,0.208,0.212,15/10/2023 10:37:49 p.m.,638330062690000000
World,806334.280959055,388785.496455955,14.7962219541759,0.218,0.224,15/10/2023 10:37:50 p.m.,638330062700000000
World,806335.235829366,388786.050997478,14.5409595664685,0.143,0.158,15/10/2023 10:37:51 p.m.,638330062710000000
World,806336.559132592,388786.305777291,14.4693039489642,0.153,0.168,15/10/2023 10:37:52 p.m.,638330062720000000
World,806337.963625332,388786.257431511,14.4958310730818,0.175,0.191,15/10/2023 10:37:53 p.m.,638330062730000000
