type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388915.070075857,804996.140457143,17.8102734433713,0.009,0.013,28/09/2023 11:20:19 p.m.,638315400190000000
World,388915.051274476,804996.139205865,17.8184245425938,0.008,0.012,28/09/2023 11:20:20 p.m.,638315400200000000
World,388914.490232332,804996.12105737,17.9461832263791,0.008,0.012,28/09/2023 11:20:21 p.m.,638315400210000000
World,388913.270473191,804996.187759509,18.0417036255864,0.008,0.013,28/09/2023 11:20:22 p.m.,638315400220000000
World,388912.02621025,804996.242846441,18.0688724320866,0.009,0.013,28/09/2023 11:20:23 p.m.,638315400230000000
World,388910.708120747,804996.415208422,18.082676022305,0.009,0.014,28/09/2023 11:20:24 p.m.,638315400240000000
World,388909.457165004,804996.625507026,18.0587649238127,0.009,0.013,28/09/2023 11:20:25 p.m.,638315400250000000
World,388908.293866792,804996.732911592,18.0414076793038,0.009,0.014,28/09/2023 11:20:26 p.m.,638315400260000000
World,388907.158714946,804996.80645913,18.0312007412723,0.009,0.014,28/09/2023 11:20:27 p.m.,638315400270000000
World,388906.039536668,804996.874665242,18.0745687671774,0.009,0.013,28/09/2023 11:20:28 p.m.,638315400280000000
World,388904.874879398,804996.970096555,18.0817764971744,0.009,0.014,28/09/2023 11:20:29 p.m.,638315400290000000
World,388903.708281232,804997.053339403,18.0658584965634,0.008,0.013,28/09/2023 11:20:30 p.m.,638315400300000000
World,388902.507517358,804997.118401112,18.0777560009374,0.009,0.014,28/09/2023 11:20:31 p.m.,638315400310000000
World,388901.295813762,804997.229581173,18.0910193247193,0.008,0.013,28/09/2023 11:20:32 p.m.,638315400320000000
World,388900.120362697,804997.345679546,18.0735417049266,0.009,0.013,28/09/2023 11:20:33 p.m.,638315400330000000
World,388898.978839006,804997.437210315,18.0795095692197,0.008,0.013,28/09/2023 11:20:34 p.m.,638315400340000000
World,388897.789347917,804997.532107903,18.0933127395078,0.009,0.013,28/09/2023 11:20:35 p.m.,638315400350000000
World,388896.633621269,804997.643718374,18.1234798104007,0.008,0.012,28/09/2023 11:20:36 p.m.,638315400360000000
World,388895.460558096,804997.788903016,18.1106182731329,0.009,0.013,28/09/2023 11:20:37 p.m.,638315400370000000
World,388894.200266483,804997.97282681,18.1042650718709,0.008,0.012,28/09/2023 11:20:38 p.m.,638315400380000000
World,388892.965260597,804998.072694587,18.1001530608663,0.008,0.013,28/09/2023 11:20:39 p.m.,638315400390000000
World,388891.694055807,804998.134973263,18.1268106228289,0.008,0.012,28/09/2023 11:20:40 p.m.,638315400400000000
World,388890.46110538,804998.196561114,18.1577553702363,0.008,0.013,28/09/2023 11:20:41 p.m.,638315400410000000
World,388889.263016935,804998.242263168,18.1369444345757,0.009,0.013,28/09/2023 11:20:42 p.m.,638315400420000000
World,388888.062822887,804998.398034051,18.1451396671758,0.008,0.013,28/09/2023 11:20:43 p.m.,638315400430000000
World,388886.789309782,804998.50997345,18.1469742915835,0.008,0.012,28/09/2023 11:20:44 p.m.,638315400440000000
